direction,t_start_s,t_end_s,throughput_mbps,retransmits,cwnd_kb
DL,350.004065,355.004057,2.5165864800066147,0,0.0
DL,355.004057,360.004062,2.5165800000022887,0,0.0
DL,360.004062,365.004059,2.726299160000893,0,0.0
DL,365.004059,370.004062,2.306865880000755,0,0.0
DL,370.004062,375.004063,2.726297080000099,0,0.0
DL,375.004063,380.004058,2.516584800002289,0,0.0
DL,380.004058,385.00406,2.5165814400003663,0,0.0
DL,385.00406,390.004062,2.7262965600003968,0,0.0
DL,390.004062,395.004058,2.516584320001465,0,0.0
DL,395.004058,400.004059,2.726297080000099,0,0.0
DL,400.004059,405.004069,2.726292140010935,0,0.0
DL,405.004069,410.005035,2.7257709417579647,0,0.0
DL,410.005035,415.003875,2.726930326810945,0,0.0
DL,415.003875,420.005031,2.516000774454758,0,0.0
DL,420.005031,425.005028,2.516583840000824,0,0.0
DL,425.005028,430.005028,2.9360128,0,0.0
DL,430.005028,435.003932,2.7268952109690483,0,0.0
DL,435.003932,440.005023,2.51603339979222,0,0.0
DL,440.005023,445.005026,2.726296040000893,0,0.0
DL,445.005026,450.005039,2.726290580018076,0,0.0
DL,450.005039,455.003887,2.726925904766265,0,0.0
DL,455.003887,460.00503,2.7256745224328736,0,0.0
DL,460.00503,465.005026,2.726299680001587,0,0.0
DL,465.005026,470.005067,2.51656176016928,0,0.0
DL,470.005067,475.00391,2.517164774739028,0,0.0
DL,475.00391,480.005021,2.516023324230056,0,0.0
DL,480.005021,485.005022,2.726297080000099,0,0.0
DL,485.005022,490.005014,2.5165864800066147,0,0.0
DL,490.005014,495.003873,2.93668299294759,0,0.0
DL,495.003873,500.005083,2.725637879680383,0,0.0
DL,500.005083,505.005023,2.726330360393659,0,0.0
DL,505.005023,510.005044,2.726286160048004,0,0.0
DL,510.005044,515.003876,2.7269344887484497,0,0.0
DL,515.003876,520.004154,2.72614602842726,0,0.0
DL,520.004154,525.005076,2.725794852727015,0,0.0
DL,525.005076,530.005032,2.9360385602260157,0,0.0
DL,530.005032,535.003899,2.7269155000118284,0,0.0
DL,535.003899,540.00406,2.935918163050545,0,0.0
DL,540.00406,545.00406,3.145728,0,0.0
DL,545.00406,550.004158,2.726244041052203,0,0.0
DL,550.004158,555.003872,3.355635210986957,0,0.0
DL,555.003872,560.004062,2.9359013642296823,0,0.0
DL,560.004062,565.004061,2.726298120000099,0,0.0
DL,565.004061,570.004062,2.726297080000099,0,0.0
DL,570.004062,575.004058,2.516584320001465,0,0.0
DL,575.004058,580.004061,2.726296040000893,0,0.0
DL,580.004061,585.004064,2.516580960000824,0,0.0
DL,585.004064,590.004065,2.516581920000092,0,0.0
DL,590.004065,595.004059,2.936016440004513,0,0.0
DL,595.004059,600.004066,2.726293700005579,0,0.0
