target_mbps,mbps,jitter_ms,lost_pct,lost,total
1.0,1.0000810663207838,4.048471041467916,0,0,5180
2.0,1.999966566851106,0,0,0,10359
4.0,3.9999391335778136,0,0,0,20718
6.0,5.999908200376378,0,0,0,31077
10.0,9.99983150095202,0,0,0,51795
