t0,t1,mbps,retx,cwnd_kb
0,5.004064,1.4668141490813618,0,0.0
5.004064,10.004068,1.6777203200009765,0,0.0
10.004068,15.004932,1.4677527638297978,0,0.0
15.004932,20.005022,1.6776913605450494,0,0.0
20.005022,25.005039,1.4680013600173034,0,0.0
25.005039,30.005022,1.4680114400173034,0,0.0
30.005022,35.005021,1.2582914400000458,0,0.0
35.005021,40.004071,1.6780403805593562,0,0.0
40.004071,45.004072,1.677721280000061,0,0.0
45.004072,50.004242,1.6776644819446511,0,0.0
50.004242,55.003872,1.6778457691891566,0,0.0
55.003872,60.004062,1.4679506821148411,0,0.0
60.004062,65.004065,1.6777206400005493,0,0.0
65.004065,70.00406,1.8874386000017165,0,0.0
70.00406,75.004064,1.6777203200009765,0,0.0
75.004064,80.004066,1.8874360800002745,0,0.0
80.004066,85.004064,1.8874375200002746,0,0.0
85.004064,90.004058,1.887439140002901,0,0.0
90.004058,95.004064,1.887434460002901,0,0.0
95.004064,100.00406,1.8874382400010987,0,0.0
100.00406,105.004059,1.8874371600000686,0,0.0
105.004059,110.004061,1.8874360800002745,0,0.0
110.004061,115.004061,2.097152,0,0.0
115.004061,120.004061,1.8874368000000001,0,0.0
120.004061,125.004058,2.0971532000006867,0,0.0
125.004058,130.004183,2.0970996013092478,0,0.0
130.004183,135.003885,2.0972770074510247,0,0.0
135.003885,140.004143,2.097043805582159,0,0.0
140.004143,145.005031,2.0967796661168756,0,0.0
145.005031,150.005027,2.306868960001343,0,0.0
150.005027,155.003875,2.3073988424945324,0,0.0
155.003875,160.004062,2.3067809632238783,0,0.0
160.004062,165.004063,2.306866760000084,0,0.0
165.004063,170.00406,2.0971532000006867,0,0.0
170.00406,175.004066,2.516579280003868,0,0.0
175.004066,180.004064,2.306868080000336,0,0.0
180.004064,185.004061,2.5165838400008242,0,0.0
185.004061,190.004065,2.306865440001343,0,0.0
190.004065,195.004059,2.5165855200038685,0,0.0
195.004059,200.004062,2.516580960000824,0,0.0
200.004062,205.004061,2.5165828800000916,0,0.0
205.004061,210.004063,2.5165814400003663,0,0.0
210.004063,215.004063,2.7262976,0,0.0
215.004063,220.004066,2.0971508000006867,0,0.0
220.004066,225.004063,2.3068685200007555,0,0.0
225.004063,230.004064,2.097151600000076,0,0.0
230.004064,235.004065,2.726297080000099,0,0.0
235.004065,240.004062,2.3068685200007555,0,0.0
240.004062,245.004062,2.3068672,0,0.0
245.004062,250.004065,2.516580960000824,0,0.0
250.004065,255.00406,2.516584800002289,0,0.0
255.00406,260.004063,2.726296040000893,0,0.0
260.004063,265.004062,2.097152400000076,0,0.0
265.004062,270.004066,2.516580480001465,0,0.0
270.004066,275.004066,2.3068672,0,0.0
275.004066,280.004063,2.0971532000006867,0,0.0
280.004063,285.004069,2.306864340003546,0,0.0
285.004069,290.004065,2.516584320001465,0,0.0
